id,title,authors,year,venue,topic,url
barros2012evolutionary,A survey of evolutionary algorithms for decision-tree induction,"Rodrigo C. Barros, Marcio P. Basgalupp, Andre C. P. L. F. de Carvalho, and Alex A. Freitas",2012,"IEEE Transactions on Systems, Man, and Cybernetics, Part C",survey,https://doi.org/10.1109/TSMCC.2011.2157494
natekin2013tutorial,"Gradient boosting machines, a tutorial",Alexey Natekin and Alois Knoll,2013,Frontiers in Neurorobotics,boosting,https://doi.org/10.3389/fnbot.2013.00021
kotsiantis2013overview,Decision trees: a recent overview,Sotiris B. Kotsiantis,2013,Artificial Intelligence Review,survey,https://doi.org/10.1007/s10462-011-9272-4
lakshminarayanan2014mondrian,Mondrian Forests: Efficient Online Random Forests,"Balaji Lakshminarayanan, Daniel M. Roy, and Yee Whye Teh",2014,NeurIPS,ensemble,https://papers.nips.cc/paper/2014/hash/195c9c0797f42473f2c2f922c4cf52cf-Abstract.html
wager2014rfci,Confidence intervals for random forests: The jackknife and the infinitesimal jackknife,"Stefan Wager, Trevor Hastie, and Bradley Efron",2014,Journal of Machine Learning Research,uncertainty,https://jmlr.org/papers/v15/wager14a.html
scornet2015consistency,Consistency of random forests,"Erwan Scornet, Gerard Biau, and Jean-Philippe Vert",2015,The Annals of Statistics,theory,https://doi.org/10.1214/15-AOS1321
sparapani2016nonparametric,Nonparametric survival analysis using Bayesian additive regression trees,"Rodney Sparapani, Brent R. Logan, Robert E. McCulloch, and Purushottam W. Laud",2016,Statistics in Medicine,bayesian-tree,https://doi.org/10.1002/sim.6893
athey2016causaltrees,Recursive partitioning for heterogeneous causal effects,Susan Athey and Guido Imbens,2016,Proceedings of the National Academy of Sciences,causal-forest,https://doi.org/10.1073/pnas.1510489113
biau2016guided,A random forest guided tour,Gerard Biau and Erwan Scornet,2016,TEST,survey,https://doi.org/10.1007/s11749-016-0481-7
mentch2016randomization,Quantifying uncertainty in random forests via local neighborhoods,Lucas Mentch and Giles Hooker,2016,arXiv,uncertainty,https://arxiv.org/abs/1604.01184
mentch2016uncertainty,Quantifying uncertainty in random forests via confidence intervals and hypothesis tests,Lucas Mentch and Giles Hooker,2016,Journal of Machine Learning Research,uncertainty,https://jmlr.org/papers/v17/14-168.html
tomita2017randomer,Randomer Forests,"Tyler M. Tomita, James Browne, Cencheng Shen, Jaewon Chung, et al.",2017,Journal of Machine Learning Research,ensemble,https://jmlr.org/papers/v18/16-389.html
bertsimas2017oct,Optimal classification trees,Dimitris Bertsimas and Jack Dunn,2017,Machine Learning,optimal-tree,https://doi.org/10.1007/s10994-017-5633-9
gomes2017arf,Adaptive random forests for evolving data stream classification,"Heitor M. Gomes, Albert Bifet, Jesse Read, Jean Paul Barddal, Fabricio Enembreck, Bernhard Pfahringer, Geoff Holmes, and Talel Abdessalem",2017,Machine Learning,streaming-tree,https://doi.org/10.1007/s10994-017-5642-8
wager2018causalforest,Estimation and Inference of Heterogeneous Treatment Effects using Random Forests,Stefan Wager and Susan Athey,2018,Journal of the American Statistical Association,causal-forest,https://doi.org/10.1080/01621459.2017.1319839
narodytska2018sat,Learning optimal decision trees with SAT,"Nina Narodytska, Alexey Ignatiev, Filipe Pereira, and Joao Marques-Silva",2018,IJCAI,optimal-tree,https://doi.org/10.24963/ijcai.2018/189
athey2019grf,Generalized Random Forests,"Susan Athey, Julie Tibshirani, and Stefan Wager",2019,The Annals of Statistics,causal-forest,https://doi.org/10.1214/18-AOS1709
aghaei2019fairtrees,Learning optimal and fair decision trees for non-discriminative decision-making,"Sina Aghaei, Mohammad Javad Azizi, and Phebe Vayanos",2019,AAAI,fairness,https://doi.org/10.1609/aaai.v33i01.33011418
bertsimas2019lens,Machine Learning under a Modern Optimization Lens,Dimitris Bertsimas and Jack Dunn,2019,Dynamic Ideas,optimal-tree,https://www.dynamic-ideas.com/books/machine-learning-under-a-modern-optimization-lens
hu2019osdt,Optimal Sparse Decision Trees,"Xiyang Hu, Cynthia Rudin, and Margo Seltzer",2019,NeurIPS,optimal-tree,https://papers.nips.cc/paper/2019/hash/ac52c626afc10d4075708ac4c778ddfc-Abstract.html
verwer2019mip,Learning optimal classification trees using a binary linear program formulation,Sicco Verwer and Yingqian Zhang,2019,Artificial Intelligence,optimal-tree,https://doi.org/10.1016/j.artint.2018.11.002
pratola2020heteroscedasticbart,Heteroscedastic BART via multiplicative regression trees,"Matthew T. Pratola, Hugh A. Chipman, Edward I. George, and Robert E. McCulloch",2020,Journal of Computational and Graphical Statistics,bayesian-tree,https://doi.org/10.1080/10618600.2019.1677243
aglin2020dl85,Learning Optimal Decision Trees Using Caching Branch-and-Bound Search,"Gael Aglin, Siegfried Nijssen, and Pierre Schaus",2020,AAAI,optimal-tree,https://doi.org/10.1609/aaai.v34i04.5711
demirovic2020nonlinear,Optimal Decision Trees for Nonlinear Metrics,Emir Demirovic and Peter J. Stuckey,2020,arXiv,optimal-tree,https://arxiv.org/abs/2009.06921
lin2020gosdt,Generalized and Scalable Optimal Sparse Decision Trees,"Jimmy Lin, Chudi Zhong, Diane Hu, Cynthia Rudin, and Margo Seltzer",2020,ICML,optimal-tree,https://proceedings.mlr.press/v119/lin20g.html
nie2021rloss,Quasi-oracle estimation of heterogeneous treatment effects,Xinkun Nie and Stefan Wager,2021,Biometrika,causal-forest,https://doi.org/10.1093/biomet/asaa076
bentejac2021comparative,A comparative analysis of gradient boosting algorithms,"Candice Bentejac, Anna Csorgo, and Gonzalo Martinez-Munoz",2021,Artificial Intelligence Review,survey,https://doi.org/10.1007/s10462-020-09896-5
bertsimas2022survival,Optimal survival trees,"Dimitris Bertsimas, Jack Dunn, Emma Gibson, and Agni Orfanoudaki",2022,Machine Learning,optimal-tree,https://doi.org/10.1007/s10994-021-06117-0
demirovic2022murtree,MurTree: optimal decision trees via dynamic programming and search,"Emir Demirovic, Anna Lukina, Emmanuel Hebrard, Jeffrey Chan, James Bailey, Christopher Leckie, Kotagiri Ramamohanarao, and Peter J. Stuckey",2022,Journal of Machine Learning Research,optimal-tree,https://jmlr.org/papers/v23/20-520.html
chen2023optpolicy,Fast Optimization of Weighted Sparse Decision Trees for use in Optimal Treatment Regimes and Optimal Policy Design,"Chaofan Chen, Cynthia Rudin, and Margo Seltzer",2023,Journal of Machine Learning Research,optimal-tree,https://pmc.ncbi.nlm.nih.gov/articles/PMC10039433/
eiben2023parameterized,Parameterized Complexity of Learning Small Decision Trees,"Eduard Eiben, Robert Ganian, Thekla Hamm, and Sebastian Ordyniak",2023,Artificial Intelligence,optimal-tree,https://doi.org/10.1016/j.artint.2022.103844
costa2023recent,Recent advances in decision trees: an updated survey,Vinicius G. Costa and Carlos E. Pedreira,2023,Artificial Intelligence Review,survey,https://doi.org/10.1007/s10462-022-10275-5
demirovic2023responsible,Decision trees: from efficient prediction to responsible AI,Emir Demirovic and Peter J. Stuckey,2023,Frontiers in Artificial Intelligence,survey,https://doi.org/10.3389/frai.2023.1124553
eisenburger2024labelnoise,Training Gradient Boosted Decision Trees on Tabular Data Containing Label Noise for Classification Tasks,"Anita Eisenburger, Daniel Otten, Anselm Hudde, and Frank Hopfgartner",2024,arXiv,boosting,https://arxiv.org/abs/2409.08647
yildiz2024medicalgbdt,Gradient Boosting Decision Trees on Medical Diagnosis over Tabular Data,A. Yarkin Yildiz and Asli Kalayci,2024,arXiv,boosting,https://arxiv.org/abs/2410.03705
huang2024rlf,Riemann-Lebesgue Forest for Regression,Wei-Min Huang and Tian Qin,2024,arXiv,ensemble,https://arxiv.org/abs/2402.04550
charbuty2024survey,"A Survey of Decision Trees: Concepts, Algorithms, and Applications",Bahar Charbuty and Adnan Abdulazeez,2024,IEEE Access,survey,https://doi.org/10.1109/ACCESS.2024.3416838
jayawardhana2025llmboost,Transformers Boost the Performance of Decision Trees on Tabular Data across Sample Sizes,"Mayuka Jayawardhana, Renbo, Samuel Dooley, Valeriia Cherepanova, Andrew Gordon Wilson, Frank Hutter, Colin White, Tom Goldstein, and Micah Goldblum",2025,arXiv,boosting,https://arxiv.org/abs/2502.02672
harviainen2025pruning,Optimal Decision Tree Pruning Revisited: Algorithms and Complexity,"Juha Harviainen, Frank Sommer, Manuel Sorge, and Stefan Szeider",2025,arXiv,optimal-tree,https://arxiv.org/abs/2503.03576
he2025hodt,Foundational theory for optimal decision tree problems. II. Optimal hypersurface decision tree algorithm,Xi He,2025,arXiv,optimal-tree,https://arxiv.org/abs/2509.12057
odtquantile2026,Interpretable Quantile Regression by Optimal Decision Trees,"Valentin Lemaire, Gael Aglin, and Siegfried Nijssen",2026,arXiv,optimal-tree,https://arxiv.org/abs/2604.21042
